source,rowid,brand,component_type,old_model,new_model
components.db,262979,FOJAN(富捷),厚膜电阻,FRC1206J240TS,FRC1206J240 TS
components.db,262983,FOJAN(富捷),厚膜电阻,FRC0603J4R7TS,FRC0603J4R7 TS
components.db,262987,FOJAN(富捷),厚膜电阻,FRC0603J123TS,FRC0603J123 TS
components.db,262988,FOJAN(富捷),厚膜电阻,FRC0603J680TS,FRC0603J680 TS
components.db,262989,FOJAN(富捷),厚膜电阻,FRC0603J163TS,FRC0603J163 TS
components.db,262990,FOJAN(富捷),厚膜电阻,FRC0402J390TS,FRC0402J390 TS
components.db,262991,FOJAN(富捷),厚膜电阻,FRC0603J394TS,FRC0603J394 TS
components.db,262992,FOJAN(富捷),厚膜电阻,FRC1206J184TS,FRC1206J184 TS
components.db,262994,FOJAN(富捷),厚膜电阻,FRC0603J1R5TS,FRC0603J1R5 TS
components.db,262995,FOJAN(富捷),厚膜电阻,FRC1206J2R4TS,FRC1206J2R4 TS
components.db,262996,FOJAN(富捷),厚膜电阻,FRC1206J433TS,FRC1206J433 TS
components.db,262999,FOJAN(富捷),厚膜电阻,FRC1206J1R6TS,FRC1206J1R6 TS
components.db,263000,FOJAN(富捷),厚膜电阻,FRC0603J162TS,FRC0603J162 TS
components.db,263001,FOJAN(富捷),厚膜电阻,FRC0603J390TS,FRC0603J390 TS
components.db,263005,FOJAN(富捷),厚膜电阻,FRC0603J392TS,FRC0603J392 TS
components.db,263006,FOJAN(富捷),厚膜电阻,FRC0603J301TS,FRC0603J301 TS
components.db,263007,FOJAN(富捷),厚膜电阻,FRC1206J361TS,FRC1206J361 TS
components.db,263009,FOJAN(富捷),厚膜电阻,FRC0402J912TS,FRC0402J912 TS
components.db,263013,FOJAN(富捷),厚膜电阻,FRC0603J911TS,FRC0603J911 TS
components.db,263014,FOJAN(富捷),厚膜电阻,FRC0603J562TS,FRC0603J562 TS
components.db,263015,FOJAN(富捷),厚膜电阻,FRC2512J150TS,FRC2512J150 TS
components.db,263016,FOJAN(富捷),厚膜电阻,FRC0603J152TS,FRC0603J152 TS
components.db,263018,FOJAN(富捷),厚膜电阻,FRC1206J432TS,FRC1206J432 TS
components.db,263019,FOJAN(富捷),厚膜电阻,FRC0603J684TS,FRC0603J684 TS
components.db,263022,FOJAN(富捷),厚膜电阻,FRC0603J134TS,FRC0603J134 TS
components.db,263023,FOJAN(富捷),厚膜电阻,FRC1206J820TS,FRC1206J820 TS
components.db,263024,FOJAN(富捷),厚膜电阻,FRC0603J393TS,FRC0603J393 TS
components.db,263025,FOJAN(富捷),厚膜电阻,FRC0603J7R5TS,FRC0603J7R5 TS
components.db,263028,FOJAN(富捷),厚膜电阻,FRC0603J183TS,FRC0603J183 TS
components.db,263029,FOJAN(富捷),厚膜电阻,FRC0603J433TS,FRC0603J433 TS
components.db,263031,FOJAN(富捷),厚膜电阻,FRC1206J1R0TS,FRC1206J1R0 TS
components.db,263032,FOJAN(富捷),厚膜电阻,FRC1206J154TS,FRC1206J154 TS
components.db,263035,FOJAN(富捷),厚膜电阻,FRC1206J241TS,FRC1206J241 TS
components.db,263036,FOJAN(富捷),厚膜电阻,FRC0603J2R4TS,FRC0603J2R4 TS
components.db,263037,FOJAN(富捷),厚膜电阻,FRC2512J161TS,FRC2512J161 TS
components.db,263039,FOJAN(富捷),厚膜电阻,FRC0402J913TS,FRC0402J913 TS
components.db,263041,FOJAN(富捷),厚膜电阻,FRC1206J224TS,FRC1206J224 TS
components.db,263042,FOJAN(富捷),厚膜电阻,FRC1206J133TS,FRC1206J133 TS
components.db,263043,FOJAN(富捷),厚膜电阻,FRC0402J131TS,FRC0402J131 TS
components.db,263044,FOJAN(富捷),厚膜电阻,FRC0603J240TS,FRC0603J240 TS
components.db,263045,FOJAN(富捷),厚膜电阻,FRC1210J100TS,FRC1210J100 TS
components.db,263046,FOJAN(富捷),厚膜电阻,FRL1206JR620TS,FRL1206JR620 TS
components.db,263047,FOJAN(富捷),厚膜电阻,FRC1210J2R2TS,FRC1210J2R2 TS
components.db,263048,FOJAN(富捷),厚膜电阻,FRC0805J123TS,FRC0805J123 TS
components.db,263052,FOJAN(富捷),厚膜电阻,FRC1206J474TS,FRC1206J474 TS
components.db,263054,FOJAN(富捷),厚膜电阻,FRC0805J431TS,FRC0805J431 TS
components.db,263055,FOJAN(富捷),厚膜电阻,FRC1206J222TS,FRC1206J222 TS
components.db,263057,FOJAN(富捷),厚膜电阻,FRC0402J391TS,FRC0402J391 TS
components.db,263058,FOJAN(富捷),厚膜电阻,FRC0402J151TS,FRC0402J151 TS
components.db,263059,FOJAN(富捷),厚膜电阻,FRC0402J563TS,FRC0402J563 TS
components.db,263060,FOJAN(富捷),厚膜电阻,FRC1206J473TS,FRC1206J473 TS
components.db,263065,FOJAN(富捷),厚膜电阻,FRC2512J2R2TS,FRC2512J2R2 TS
components.db,263066,FOJAN(富捷),厚膜电阻,FRC0603J910TS,FRC0603J910 TS
components.db,263068,FOJAN(富捷),厚膜电阻,FRC1206J304TS,FRC1206J304 TS
components.db,263070,FOJAN(富捷),厚膜电阻,FRC1206J335TS,FRC1206J335 TS
components.db,263074,FOJAN(富捷),厚膜电阻,FRC0603J513TS,FRC0603J513 TS
components.db,263075,FOJAN(富捷),厚膜电阻,FRC0603J273TS,FRC0603J273 TS
components.db,263077,FOJAN(富捷),厚膜电阻,FRC0603J274TS,FRC0603J274 TS
components.db,263078,FOJAN(富捷),厚膜电阻,FRC0402J1R0TS,FRC0402J1R0 TS
components.db,263080,FOJAN(富捷),厚膜电阻,FRC0805J300TS,FRC0805J300 TS
